epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7647,2.02382,2.678,1.0946,0.03128,0.17569,0.09384,0.05949,1.88472,3.02027,0.98104,0.00051677,0.00051677,0.00051677
2,31.5586,2.00905,1.666,1.05033,0.37113,0.20902,0.17376,0.07746,2.05231,2.22807,1.06879,0.000946239,0.000946239,0.000946239
3,46.749,1.96139,1.50186,1.02659,0.54272,0.20486,0.22604,0.11544,1.99377,2.16373,1.00402,0.00127009,0.00127009,0.00127009
4,65.3179,1.87247,1.35843,1.0039,0.5171,0.29504,0.29263,0.14452,1.89708,1.61423,0.97861,0.0011719,0.0011719,0.0011719
5,77.9827,1.87596,1.35138,0.99762,0.49262,0.323,0.31479,0.15297,1.88354,1.44683,0.96875,0.00100687,0.00100687,0.00100687
6,92.3522,1.84796,1.30108,0.98421,0.50084,0.36794,0.34372,0.17739,1.73985,1.18629,0.96899,0.000841835,0.000841835,0.000841835
7,106.102,1.77154,1.23277,0.97372,0.52206,0.37479,0.35993,0.18665,1.75567,1.19143,0.95684,0.000676802,0.000676802,0.000676802
8,123.712,1.70705,1.31443,0.98173,0.4979,0.37413,0.36021,0.1867,1.73091,1.17403,0.94811,0.000511769,0.000511769,0.000511769
9,136.386,1.68503,1.24216,0.97034,0.51377,0.38711,0.36779,0.19249,1.70879,1.11896,0.95147,0.000346736,0.000346736,0.000346736
10,150.339,1.67136,1.20223,0.96093,0.53384,0.39706,0.38706,0.20353,1.66757,1.10748,0.9369,0.000181703,0.000181703,0.000181703
